"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"0","0.45567966880493915","-2.7202343940734863","7.151638984680176","192.04294478527606","0","396"
"50","0.17502762529660354","-3.2095868587493896","4.058561325073242","590.9805194805194","401","795"
"100","0.3783089992011318","-3.0629944801330566","8.903228759765625","1006.0608108108108","803","1195"
"150","0.30919066538293677","-2.821446418762207","4.18065881729126","1397.210843373494","1203","1601"
"200","0.25071994362898714","-3.4512710571289062","5.418601036071777","1785.4024390243903","1604","2003"
"250","0.4694657365757006","-3.380673885345459","9.594077110290527","2199.074074074074","2005","2403"
"300","0.2788527211527419","-4.92071008682251","7.2866339683532715","2596.6797385620916","2406","2805"
"350","0.40580994460959824","-2.5911831855773926","4.3668532371521","2997.802721088435","2807","3206"
"400","0.20708783695008606","-3.616004228591919","13.205333709716797","3409.68125","3209","3607"
"450","0.27092006064153146","-2.7706992626190186","5.647884845733643","3810.4226190476193","3609","4007"
"500","0.4139858936741404","-5.805109977722168","9.553544998168945","4216.080291970803","4010","4402"
"550","0.4913939017849632","-2.766538381576538","8.840612411499023","4615.151898734177","4413","4810"
"600","0.15668638267025753","-4.920755386352539","4.868900775909424","5022.155405405405","4812","5211"
"650","0.39712134084353845","-3.0596859455108643","4.352415084838867","5402.833333333333","5213","5611"
"700","0.5591502822028449","-2.1653459072113037","8.925859451293945","5817.097402597403","5616","6013"
"750","0.2403146989842635","-4.363603115081787","7.276866912841797","6214.419847328244","6015","6411"
"800","0.1646826667652565","-4.951677322387695","10.043441772460938","6616.723270440251","6417","6813"
"850","0.359708285381925","-2.5060782432556152","5.634524822235107","7010.49645390071","6817","7215"
"900","0.21386499561129077","-3.0061445236206055","4.860875129699707","7409.167741935484","7218","7617"
"950","0.30739773840345197","-3.367671012878418","10.08370590209961","7809.35294117647","7619","8018"
"1000","0.44510675565554547","-2.802462577819824","7.033352851867676","8219.429487179486","8022","8418"
"1050","0.1663743981993512","-2.9810047149658203","4.588472843170166","8613.721804511279","8425","8812"
"1100","0.3446469355494745","-2.4592227935791016","7.9683332443237305","9023.8","8822","9220"
"1150","0.3609796535068502","-2.498286724090576","9.375458717346191","9426.083333333334","9231","9622"
"1200","0.332458716798322","-2.4901123046875","5.208854675292969","9817.081081081082","9624","10019"
"1250","0.31069356371390533","-4.403685092926025","5.066228866577148","10217.325301204819","10028","10423"
"1300","0.38542893751700585","-2.4842541217803955","5.244534969329834","10617.297297297297","10426","10824"
"1350","0.6800844598561525","-2.7427096366882324","7.949540138244629","11024.66875","10827","11223"
"1400","0.3939666340832049","-4.896523475646973","7.661190509796143","11429.666666666666","11231","11624"
"1450","0.4891435739559096","-5.923490524291992","12.702339172363281","11826.70945945946","11634","12026"
"1500","0.1633812450386327","-2.6635169982910156","5.818368434906006","12239.089655172414","12032","12429"
"1550","0.30038914821509805","-3.138089895248413","9.426607131958008","12635.771428571428","12432","12830"
"1600","0.18951350295104863","-5.9412007331848145","5.988956928253174","13039.312883435583","12834","13231"
"1650","0.3587950714939349","-3.7616539001464844","7.324102401733398","13439.913513513513","13233","13632"
"1700","0.5182795323485482","-3.006821393966675","9.134866714477539","13826.753623188406","13637","14033"
