"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Log Odds Ratio__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"0","-0.7089895630855988","-2.784015655517578","-0.0007832733099348843","192.04294478527606","0","396"
"50","-0.7711961840267305","-3.249166488647461","-0.017126411199569702","590.9805194805194","401","795"
"100","-0.740091994569485","-3.108682155609131","-0.00013590783055406064","1006.0608108108108","803","1195"
"150","-0.7418195775160229","-2.8792622089385986","-0.0151728056371212","1397.210843373494","1203","1601"
"200","-0.8057500547615857","-3.4824841022491455","-0.004423612728714943","1785.4024390243903","1604","2003"
"250","-0.6918388127240088","-3.4141323566436768","-0.00006819004192948341","2199.074074074074","2005","2403"
"300","-0.7916979389805407","-4.927977561950684","-0.0006843762239441276","2596.6797385620916","2406","2805"
"350","-0.7050434108760183","-2.663439989089966","-0.01261130440980196","2997.802721088435","2807","3206"
"400","-0.828972885836275","-3.6425387859344482","-0.0000017881409348774469","3409.68125","3209","3607"
"450","-0.7370647215215113","-2.831435203552246","-0.0035188046749681234","3810.4226190476193","3609","4007"
"500","-0.7795160353540852","-5.808117389678955","-0.00007093204476404935","4216.080291970803","4010","4402"
"550","-0.6859980984649892","-2.8275198936462402","-0.00014473055489361286","4615.151898734177","4413","4810"
"600","-0.8520606157929964","-4.928022384643555","-0.007652520667761564","5022.155405405405","4812","5211"
"650","-0.6889510894690951","-3.1055216789245605","-0.012793490663170815","5402.833333333333","5213","5611"
"700","-0.6445501586299484","-2.2739405632019043","-0.0001329271908616647","5817.097402597403","5616","6013"
"750","-0.7662703349945519","-4.376255035400391","-0.0006910565425641835","6214.419847328244","6015","6411"
"800","-0.8685594994880284","-4.958724021911621","-0.000043512336560525","6616.723270440251","6417","6813"
"850","-0.7406741232555095","-2.584508180618286","-0.0035659996792674065","7010.49645390071","6817","7215"
"900","-0.8090676637126073","-3.054441213607788","-0.007713906466960907","7409.167741935484","7218","7617"
"950","-0.7590275436842704","-3.401560068130493","-0.00004172412081970833","7809.35294117647","7619","8018"
"1000","-0.7002676272162577","-2.861354351043701","-0.0008815238834358752","8219.429487179486","8022","8418"
"1050","-0.8125579858730946","-3.030501127243042","-0.01011709775775671","8613.721804511279","8425","8812"
"1100","-0.7367737398323257","-2.541264772415161","-0.00034624370164237916","9023.8","8822","9220"
"1150","-0.7560245827037053","-2.5773065090179443","-0.00008476139919366688","9426.083333333334","9231","9622"
"1200","-0.7054543962538544","-2.5697555541992188","-0.005452989600598812","9817.081081081082","9624","10019"
"1250","-0.7102662261227617","-4.4158430099487305","-0.006286371499300003","10217.325301204819","10028","10423"
"1300","-0.6914003537023893","-2.5643470287323","-0.005262428428977728","10617.297297297297","10426","10824"
"1350","-0.6496369197640888","-2.805116891860962","-0.0003528025117702782","11024.66875","10827","11223"
"1400","-0.7473458871150237","-4.903968334197998","-0.00047062980593182147","11429.666666666666","11231","11624"
"1450","-0.7392229740322146","-5.9261627197265625","-0.000003099446303167497","11826.70945945946","11634","12026"
"1500","-0.7937572803910308","-2.7308976650238037","-0.002968062413856387","12239.089655172414","12032","12429"
"1550","-0.7887220910849074","-3.180541515350342","-0.00008058872481342405","12635.771428571428","12432","12830"
"1600","-0.7967344616122681","-5.943826198577881","-0.0025031277909874916","13039.312883435583","12834","13231"
"1650","-0.72213858295188","-3.784633159637451","-0.0006592658464796841","13439.913513513513","13233","13632"
"1700","-0.6486920824205247","-3.055086135864258","-0.00010789022780954838","13826.753623188406","13637","14033"
"1750","-0.7545070903056145","-2.9078452587127686","-0.0005845347186550498","14230.937888198758","14035","14434"
"1800","-0.7326545234171599","-4.675289630889893","-0.00031249638414010406","14647.186335403727","14438","14834"
"1850","-0.781128906601225","-5.658278942108154","-0.007582189980894327","15038.875","14837","15234"
