"train/global_step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - Sequence Log Odds__MAX","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MIN","Qwen2.5-1.5B-Instruct-ultrafeedback-binarized-preferences-cleaned-lambda1.0-ORPO-30-5-29 - _step__MAX"
"0","0.34714969704670406","-2.276052951812744","8.318645477294922","192.04294478527606","0","396"
"50","0.16894473280612524","-1.8287252187728882","2.403717279434204","590.9805194805194","401","795"
"100","0.3214278430552096","-2.9536662101745605","7.758525848388672","1006.0608108108108","803","1195"
"150","0.27778890055705263","-2.380305767059326","3.5645811557769775","1397.210843373494","1203","1601"
"200","0.1776529366105068","-2.2701263427734375","3.5780277252197266","1785.4024390243903","1604","2003"
"250","0.39133689028245433","-1.612939476966858","8.585304260253906","2199.074074074074","2005","2403"
"300","0.20111655380601198","-4.984513282775879","7.905063152313232","2596.6797385620916","2406","2805"
"350","0.33593815524561876","-2.002373218536377","4.402000904083252","2997.802721088435","2807","3206"
"400","0.14413290047086774","-2.264824628829956","10.736006736755371","3409.68125","3209","3607"
"450","0.21445124259307272","-1.9349876642227173","3.7606663703918457","3810.4226190476193","3609","4007"
"500","0.362958539032588","-5.365313529968262","8.315208435058594","4216.080291970803","4010","4402"
"550","0.320170248705375","-1.7558720111846924","7.546855926513672","4615.151898734177","4413","4810"
"600","0.08950284999367353","-5.040055751800537","6.088294982910156","5022.155405405405","4812","5211"
"650","0.23063612808783848","-2.7833428382873535","4.387904644012451","5402.833333333333","5213","5611"
"700","0.4006834049503525","-1.4760262966156006","8.482110023498535","5817.097402597403","5616","6013"
"750","0.28144194708980674","-5.901407241821289","7.901834964752197","6214.419847328244","6015","6411"
"800","0.11982926173405077","-6.64163064956665","9.352008819580078","6616.723270440251","6417","6813"
"850","0.2541174670905932","-1.7951854467391968","5.2389912605285645","7010.49645390071","6817","7215"
"900","0.20388193457357345","-1.6742714643478394","6.087931156158447","7409.167741935484","7218","7617"
"950","0.24641676889915093","-1.7653940916061401","9.409599304199219","7809.35294117647","7619","8018"
"1000","0.34414340870884746","-1.9977829456329346","7.215602874755859","8219.429487179486","8022","8418"
"1050","0.16681099778279326","-1.7302236557006836","3.4974732398986816","8613.721804511279","8425","8812"
"1100","0.2539302687971823","-2.903852701187134","8.562712669372559","9023.8","8822","9220"
"1150","0.24546699893350402","-2.2685704231262207","7.205161094665527","9426.083333333334","9231","9622"
"1200","0.23821543851816976","-1.3342921733856201","3.3372271060943604","9817.081081081082","9624","10019"
